01R1SUN,07:45:00,07:45:00,FRMT,1,RICHMOND,,
01R1SUN,07:50:00,07:50:00,UCTY,2,RICHMOND,,
01R1SUN,07:55:00,07:55:00,SHAY,3,RICHMOND,,
01R1SUN,07:59:00,07:59:00,HAYW,4,RICHMOND,,
01R1SUN,08:03:00,08:03:00,BAYF,5,RICHMOND,,
01R1SUN,08:07:00,08:07:00,SANL,6,RICHMOND,,
01R1SUN,08:11:00,08:11:00,COLS,7,RICHMOND,,
01R1SUN,08:14:00,08:14:00,FTVL,8,RICHMOND,,
01R1SUN,08:19:00,08:19:00,LAKE,9,RICHMOND,,
01R1SUN,08:23:00,08:23:00,12TH_N,10,RICHMOND,,
01R1SUN,08:24:00,08:24:00,19TH,11,RICHMOND,,
01R1SUN,08:27:00,08:27:00,MCAR,12,RICHMOND,,
01R1SUN,08:30:00,08:30:00,ASBY,13,RICHMOND,,
01R1SUN,08:33:00,08:33:00,DBRK,14,RICHMOND,,
01R1SUN,08:35:00,08:35:00,NBRK,15,RICHMOND,,
01R1SUN,08:39:00,08:39:00,PLZA,16,RICHMOND,,
01R1SUN,08:42:00,08:42:00,DELN,17,RICHMOND,,
01R1SUN,08:46:00,08:46:00,RICH,18,RICHMOND,,
